genre_ids,id,overview,popularity,release_date,title,vote_average,vote_count,imdb_id
"[80, 9648, 53]",807,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",42.181322,1995-09-22,Se7en,8.2,7373,tt0114369
"[18, 35]",3082,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,15.782567,1936-02-05,Modern Times,8.2,1157,tt0027977
"[18, 9648, 80]",37257,"When Leonard Vole is arrested for the sensational murder of a rich, middle-aged widow, the famous Sir Wilfrid Robarts agrees to appear on his behalf. Sir Wilfrid, recovering from a near-fatal heart attack, is supposed to be on a diet of bland, civil suits – but the lure of the criminal courts is too much for him, especially when the case is so difficult.",7.577288,1957-12-17,Witness for the Prosecution,8.2,353,tt0051201
"[18, 10752]",975,"During World War I, commanding officer General Broulard orders his subordinate, General Mireau, to attack a German trench position, offering a promotion as an incentive. Though the mission is foolhardy to the point of suicide, Mireau commands his own subordinate, Colonel Dax, to plan the attack. When it ends in disaster, General Mireau demands the court-martial of three random soldiers in order to save face.",8.78286,1957-09-18,Paths of Glory,8.2,747,tt0050825
"[80, 18]",359940,"After seven months have passed without a culprit in her daughter's murder case, Mildred Hayes makes a bold move, painting three signs leading into her town with a controversial message directed at Bill Willoughby, the town's revered chief of police. When his second-in-command Officer Jason Dixon, an immature mother's boy with a penchant for violence, gets involved, the battle between Mildred and Ebbing's law enforcement is only exacerbated.",60.103949,2017-11-10,"Three Billboards Outside Ebbing, Missouri",8.2,2344,tt5027774
"[18, 10751]",406997,"The story of August Pullman – a boy with facial differences – who enters fifth grade, attending a mainstream elementary school for the first time.",26.870147,2017-11-13,Wonder,8.2,1556,tt2543472
"[28, 53, 878, 9648, 12]",27205,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",40.400918,2010-07-14,Inception,8.2,16669,tt1375666
"[80, 18, 53]",274,"FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. But her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.",8.421125,1991-02-01,The Silence of the Lambs,8.2,5783,tt0102926
"[12, 14, 28]",120,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",54.987122,2001-12-18,The Lord of the Rings: The Fellowship of the Ring,8.1,10643,tt0120737
"[12, 18, 878]",157336,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,43.564577,2014-11-05,Interstellar,8.1,13529,tt0816692
